region_name,Station,longitude,latitude,date,time,Twilight,net,mesh (um),net diamter (m),tow depth (m),bottom depth(m),volume (m3),CTD,Polychaeta,Amphipoda,Cirripedia,Cladocera,Copepoda,Cumacea,Anomura,Brachyura,Caridea,Pleocyemata,Euphausiacea,Isopoda,Mysida,Ostracoda,Bryozoa,Chaetognatha,Anthozoa,Hydromedusa,Siphonophora,Scyphozoa,Ctenophora,Echinodermata,Bivalva,Cephalopoda,Gastropoda,Pteropoda,Nemertea,Phoronida,Pisces,Platyhelminthes,Protozoa,Sipuncula,Appendicularia,Thaliacea,Animalia
Southern Vancouver Island Shelf (Stations B and D),9,-126.55,49,13/02/1980,22:50,Night,Bongo ONH,351,0.56,100,182,58.23,,0,0.51586,0.35171,0,11.26906,0,0,0,0,0.01264,2.31304,0,0,0,0,0.5244,0,0,0.07034,0,0,0,0,0,0,1.85884,0,0,2.11059,0,0,0,0.29126,0.02576,0
Southern Vancouver Island Shelf (Stations B and D),10,-126.233,49,14/02/1980,0:45,Night,Bongo ONH,351,0.56,66,100,68.54,,0,0.04508,0.35483,0,11.0354,0.00473,0,0,0,0.01074,0.63175,0,0,0,0,0.38564,0,0,0.08964,0,0.01833,0,0,0,0,1.06449,0,0,5.38343,0,0,0,0.33149,0,0
Southern Vancouver Island Shelf (Stations B and D),11,-126.067,49,14/02/1980,1:50,Night,Bongo ONH,351,0.56,33,55,68.69,,0.0205,0,2.64609,0,16.67719,0,0,0,0,0.08572,2.28447,0,0,0,0,0.53108,0,0,0.05963,0,0,0,0,0,0,1.88674,0,0,2.4877,0,0,0,1.77959,0,0
Southern Vancouver Island Shelf (Stations B and D),12,-126.733,49.5,14/02/1980,5:45,Night,Bongo ONH,351,0.56,18,55,84.72,,0,0.09962,3.26346,0,18.61367,0,0,0,0,0.17375,0.1813,0,0,0,0,0.17224,0,0,0.09669,0,0,0,0,0,0,0.38527,0,0,1.27668,0,0,0,1.9339,0,0
Northern Vancouver Island Shelf,13,-126.9,49.5,14/02/1980,6:50,Daylight,Bongo ONH,351,0.56,57,100,88.13,,0.00386,0.17872,0.01452,0,7.25516,0,0,0,0,0.05011,0.31544,0,0,0,0,0.54102,0,0,0.02324,0,0,0,0,0,0,1.40157,0,0,2.3529,0,0,0,0.53739,0.05106,0
Northern Vancouver Island Shelf,14,-127.233,49.5,14/02/1980,8:30,Daylight,Bongo ONH,351,0.56,127,182,97.78,,0,0.201,0,0,3.55022,0,0,0,0,0.00941,0.11291,0,0,0.00818,0,2.40553,0,0,0.03142,0,0,0,0,0,0,0.45327,0,0,0.72325,0,0,0,0.07773,0.04602,0
Northern Vancouver Island Shelf,15,-127.567,49.5,14/02/1980,10:30,Daylight,Bongo ONH,351,0.56,516,910,337.82,,0.00201,0.12008,0,0,6.47637,0,0,0,0,0.01343,1.70594,0.00171,0.04604,0.31259,0,2.35288,0,0.10212,0.00777,0.0595,0,0,0,0,0,0.12604,0,0,0.25606,0,0,0,0.00474,0.0444,0
Northern Vancouver Island Shelf,19,-127.583,50,14/02/1980,14:50,Daylight,Bongo ONH,351,0.56,33,55,75.54,,0,0.28724,0,0,10.97133,0,0,0,0,0.05846,0,0,0,0,0,3.3093,0,0.3058,0.51512,0,0.08155,0,0,0,0,1.4403,0,0,5.49999,0,0,0,0.52952,0.15886,0
Northern Vancouver Island Shelf,18,-127.717,50,14/02/1980,15:40,Daylight,Bongo ONH,351,0.56,57,182,82.57,,0.00824,0.32637,0,0,19.3728,0,0,0,0,0.03565,0.06104,0,0,0,0,1.58586,0,0,0.09921,0,0.01066,0,0,0,0,1.09289,0,0,1.51387,0,0,0,0.84486,0.07267,0.00186
Northern Vancouver Island Shelf,16,-127.983,50,14/02/1980,17:45,Daylight,Bongo ONH,351,0.56,500,910,323.63,,0.06768,0.39821,0,0,23.11964,0,0,0,0,0.04374,0.42646,0,0.09611,1.10744,0,6.33345,0,1.18109,0.08192,0,0.00388,0,0,0,0,0.35021,0,0,1.45197,0,0,0,0.15623,0.59683,0.01044
Northern Vancouver Island Shelf,20,-128.233,50.5,14/02/1980,21:35,Night,Bongo ONH,351,0.56,20,55,84.04,,0,0.35604,0,0,18.128,0,0,0,0,0.00438,0.0595,0,0,0.01904,0,1.72413,0,0,0.02437,0,0.54427,0,0,0,0,2.13232,0,0,0.30938,0,0,0,0.36364,0.80319,0.0003
Northern Vancouver Island Shelf,21,-128.317,50.5,14/02/1980,22:10,Night,Bongo ONH,351,0.56,49,100,100.62,,0.00676,0.35071,0,0,20.48983,0,0,0,0,0.03657,0.42258,0,0,0,0,5.12805,0,3.31664,0.00127,0,1.11946,0,0,0,0,0.82349,0,0,2.25859,0,0,0,0.13039,0.22361,0.00254
Northern Vancouver Island Shelf,22,-128.433,50.5,14/02/1980,23:10,Night,Bongo ONH,351,0.56,133,182,95.42,,0.17116,0.15751,0,0,7.8174,0.0034,0,0,0,0.01157,47.31881,0,0,0.06707,0,3.71881,0,0.71002,0.00067,0,0.88535,0,0,0.11528,0,0.07965,0,0,0.67596,0,0,0,0.13582,0.03144,0.00966
Northern Vancouver Island Shelf,23,-128.667,50.5,15/02/1980,0:45,Night,Bongo ONH,351,0.56,451,910,265.15,,0.34746,0.18049,0.00483,0,5.53384,0,0,0,0,0.02322,2.56754,0,0,0.34999,0,4.242,0,0.759,0.06011,0,0.0132,0,0,0,0,0.34214,0,0,0.77677,0,0,0,0.04345,0.01131,0.00714
Northern Vancouver Island Shelf,27,-128.517,51,15/02/1980,4:30,Night,Bongo ONH,351,0.56,57,100,59.71,,0,0.12062,0,0,3.77465,0,0,0,0,0.0134,0.08575,0,0.08682,0.0134,0,14.21992,0,0.03182,0.01715,0,0.23581,0,0,0,0,0.87691,0,0,0.33111,0,0,0,0.05359,0,0
Northern Vancouver Island Shelf,26,-128.933,51,15/02/1980,6:00,Night,Bongo ONH,351,0.56,41,76,73.11,,0,0.08578,0,0,6.83531,0.10636,0,0,0,0.0302,0,0,0,0,0,9.1779,0,0,0.09104,0,0.09629,0,0,0,0,0.26973,0,0,0.92189,0,0,0,0.15648,0.04103,0.0035
Northern Vancouver Island Shelf,25,-129.35,51,15/02/1980,8:00,Daylight,Bongo ONH,351,0.56,131,182,147.71,,0,0.01462,0,0,3.2267,0,0,0,0,0,0.00406,0,0,0,0,4.73826,0,0,0.01387,0,0.47661,0,0,0,0,1.56848,0,0,0.28705,0,0,0,0.07907,0.06093,0.00069
Alaska Basin East,P26,-145,50,15/02/1980,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0.20536,0,0,16.19824,0,0,0,0,0,1.02941,0,0,0.3466,0,1.23017,0,7.84728,0,0,0,0,0,0,0,1.66802,0,0,0,0,0,0,0,0,0
Northern Vancouver Island Shelf,24,-129.8,51,15/02/1980,10:15,Daylight,Bongo ONH,351,0.56,515,910,361.13,,0.02354,0.08842,0,0,6.16773,0,0,0,0,0.00832,1.27123,0,0.01435,0.31014,0,4.97804,0,0.02105,0.01701,0,0,0,0,0.06092,0,0.22264,0,0,0.44466,0,0,0,0.02038,0.05815,0.00298
Hecate Strait,32,-129.85,51.5,15/02/1980,14:52,Daylight,Bongo ONH,351,0.56,158,182,132.39,,0,0.07229,0,0,3.85428,0,0,0,0,0,2.74386,0,0,0,0,2.35616,0,0,0,0,0,0,0,0.04154,0,0.48373,0,0,0,0,0,0,0.00604,0.03399,0.00058
Hecate Strait,33,-130.4,51.5,15/02/1980,16:57,Daylight,Bongo ONH,351,0.56,516,910,412.15,,0.04367,0.11087,0,0,6.88694,0,0,0,0,0.00808,3.25785,0,0.01258,0.28727,0,5.28198,0,0,0.00497,0,0,0,0,0,0,0.20575,0,0,0.77409,0,0,0,0.00155,0.07842,0.00224
Dixon Shelf,49,-134.1,54.5,17/02/1980,9:20,Daylight,Bongo ONH,351,0.56,516,910,405.88,,0.0119,0.13515,0,0,9.23025,0,0,0,0,0,0.54763,0,0.01277,0.57554,0,0.96602,0,0.00714,0,0.04952,0,0,0,0,0,0.15177,0,0,2.17274,0,0,0,0.00867,1.30088,0
Dixon Shelf,52,-132.917,54.5,17/02/1980,17:00,Daylight,Bongo ONH,351,0.56,246,365,165.08,,0.00618,0.54509,0,0,6.42028,0,0,0,0.02551,0.01115,0.315,0,0.06281,0.126,0,1.45984,0,0,0.00078,0,0,0,0,0,0,0.07415,0,0,0.07936,0,0,0,0,0,0
Dixon Shelf,53,-132.45,54.5,17/02/1980,19:25,Night,Bongo ONH,351,0.56,291,364,212.12,,0.02084,0.94455,0.00302,0,7.0369,0,0,0,0,0.02263,8.82689,0,0,0.46766,0,1.78255,0,0.00896,0.00573,0,0.44805,0,0,0,0,0.20743,0,0,0.42061,0,0,0,0,0,0.00036
Dixon Shelf,54,-132,54.5,17/02/1980,21:40,Night,Bongo ONH,351,0.56,193,246,142.03,,0.02633,1.56667,0,0,8.83497,0,0,0,0,0.03743,6.77069,0,0,0.41681,0,1.53795,0,0.00774,0.01442,0,0,0,0,0,0,0.02873,0,0,0.14715,0,0,0,0.00338,0,0.0009
Dixon Shelf,55,-131.567,54.5,17/02/1980,23:45,Night,Bongo ONH,351,0.56,203,282,109.55,,0.04345,1.62461,0,0,8.6978,0,0,0,0,0.00168,19.20476,0,0.04732,0.34322,0,4.17636,0,0.06572,0.00935,0,0,0,0,0,0,0.13765,0,0,0.07211,0,0,0,0.00219,0,0.00304
Dixon Shelf,56,-131.117,54.5,18/02/1980,2:00,Night,Bongo ONH,351,0.56,139,146,104.95,,0.12368,1.03624,0,0,4.07933,0,0,0,0,0.01753,10.64735,0,0.19758,0.08385,0,7.68793,0,0.01048,0.00976,0,0,0,0,0.05241,0,0.37046,0,0,0.21439,0,0,0,0.01296,0,0.00171
Hecate Strait,57,-131.417,54,18/02/1980,5:25,Night,Bongo ONH,351,0.56,12,18,74.29,,0.11038,0.16638,0.12061,0.00054,1.21529,0,0,0,0,0.08443,0.01615,0,0.3489,0,0,2.98054,0,0,0.06203,0,0,0,0,0.07403,0,0.08238,0,0,0.73792,0,0,0,0.15722,0,0.00017
Hecate Strait,58,-131.133,54,18/02/1980,6:50,Daylight,Bongo ONH,351,0.56,16,55,74.55,,0.055,0,0.06439,0,1.31972,0,0,0,0,0.00247,0.27257,0,0,0.02146,0,5.1742,0,0,0,0,0.18887,0,0,0,0,0.04561,0,0,0.63434,0,0,0,0.39061,0,0.0012
Hecate Strait,59,-130.833,54,18/02/1980,7:35,Daylight,Bongo ONH,351,0.56,49,100,115.03,,0,0.07149,0,0,0.58035,0,0,0,0,0.0032,0.00522,0,0,0,0,7.245,0,0.72529,0.0089,0,0.36721,0,0,0,0,0.36651,0,0,0.11318,0,0,0,0.18639,0.01304,0.00045
Hecate Strait,60,-130.7,53.5,18/02/1980,11:20,Daylight,Bongo ONH,351,0.56,98,100,106.72,,0,0.26013,0.006,0,0.96413,0,0,0,0,0,0,0,0,0,0,2.42376,0,0.0178,0.02879,0,0,0,0,0,0,0.75187,0,0,0.06971,0,0,0,0.10945,0.01406,0.00048
Hecate Strait,61,-131.083,53.5,18/02/1980,13:50,Daylight,Bongo ONH,351,0.56,25,55,87.59,,0,0.25939,0.00365,0,1.41896,0.05918,0,0,0,0.0084,0.00365,0,0,0,0,5.67736,0,0,0.00438,0,0.40187,0,0,0,0,0.2329,0,0,0.10526,0,0,0,0.10412,0.11988,0.00029
Hecate Strait,63,-131.1,53,18/02/1980,18:30,Daylight,Bongo ONH,351,0.56,16,55,76.28,,0.01337,0.56739,0.8474,0,2.42219,0,0,0,0,0.07719,0.03933,0,0,0,0,5.57808,0,0.02491,0.04027,0,0,0,0,0,0,0.19612,0,0,3.73623,0,0,0,0.33351,0.01966,0.00268
Hecate Strait,64,-130.667,53,18/02/1980,20:17,Night,Bongo ONH,351,0.56,99,100,86.16,,0,0.12052,0.05942,0,1.92251,0,0,0,0,0.00427,0.51857,0,0,0,0,5.88134,0,0.0441,0.01188,0,1.47075,0,0,0,0,0.26834,0,0,0.1727,0,0,0,0.13928,0,0
Hecate Strait,65,-130.217,53,18/02/1980,22:00,Night,Bongo ONH,351,0.56,164,228,128.49,,0,0.56632,0,0,2.5994,0,0,0,0,0,240.02055,0,0.12104,0.00623,0,1.46939,0,0,0,0,0.10958,0,0,0,0,0.23815,0,0,0,0,0,0,0.00747,0,0.0002
Hecate Strait,66,-129.783,53,19/02/1980,0:15,Night,Bongo ONH,351,0.56,172,200,132.04,,0,0.69482,0,0,5.38731,0,0,0,0,0.00418,15.6595,0,0,0.03029,0,4.59654,0,0,0.00388,0,0,0,0,0,0,0.20055,0,0,0.15298,0,0,0,0.06665,0,0
Hecate Strait,67,-129.8,52.5,19/02/1980,3:50,Night,Bongo ONH,351,0.56,180,182,144.68,,0.00238,0.41173,0,0,1.64355,0,0,0,0,0,17.70667,0,0,0.01659,0,3.89002,0,0.10506,0.00708,0,0,0,0,0,0,0.2538,0,0,0.10229,0,0,0,0.01714,0.14515,0
Hecate Strait,68,-130.217,52.5,19/02/1980,5:40,Night,Bongo ONH,351,0.56,225,273,169.48,,0.00602,0.13086,0,0,1.37083,0,0,0,0.00574,0.00109,0.78796,0,0,0.01416,0,1.91133,0,0.08969,0.01208,0,0,0,0,0.03304,0,0.22304,0,0,0.00012,0,0,0,0.04673,0,0
Hecate Strait,69,-130.667,52.5,19/02/1980,8:00,Daylight,Bongo ONH,351,0.56,74,100,84.75,,0,0.09704,0,0.00047,1.19652,0,0,0,0,0.00217,0,0,0,0,0,4.58837,0,0,0.03021,0,0,0,0,0,0,0.48566,0,0,0.08732,0,0,0,0.16425,0,0
Hecate Strait,70,-131.117,52.5,19/02/1980,9:30,Daylight,Bongo ONH,351,0.56,54,55,98.27,,0,0.05342,0,0,1.30795,0,0,0,0,0.00187,0,0,0,0.00814,0,2.79003,0,0.15468,0.04168,0,0,0,0,0,0,0.79862,0,0,0.76075,0,0,0,0.22632,0,0
Hecate Strait,71,-130.683,52,19/02/1980,13:00,Daylight,Bongo ONH,351,0.56,213,228,161.43,,0,0.03828,0,0,0.76736,0,0,0,0,0.00342,0.32485,0,0,0,0,2.20459,0,0.47079,0.00317,0,0,0,0,0,0,0.2401,0,0,0.06814,0,0,0,0.00991,0,0
Hecate Strait,72,-130.233,52,19/02/1980,15:40,Daylight,Bongo ONH,351,0.56,99,100,221.92,,0.00153,0.09427,0,0,0.69129,0,0,0,0,0.00332,2.03712,0,0,0,0,2.2607,0,0.01712,0.00923,0,0,0,0,0,0,0.78786,0,0,0.00946,0,0,0,0.00216,0.00676,0
Hecate Strait,73,-129.8,52,19/02/1980,17:40,Daylight,Bongo ONH,351,0.56,98,100,111.05,,0,0.0389,0,0,2.14658,0,0,0,0,0,0.95452,0,0,0,0,4.76038,0,0,0.01383,0,0,0,0,0,0,0.61954,0,0,0.08285,0,0,0,0.02305,0,0
Hecate Strait,74,-129.35,52,19/02/1980,19:34,Night,Bongo ONH,351,0.56,164,182,142.17,,0,0.04226,0,0,2.64935,0,0,0,0,0.00129,79.48636,0,0,0,0,1.27464,0,0,0,0,0,0,0,0,0,0.41331,0,0,0.53879,0,0,0,0.01857,0.08441,0
Hecate Strait,75,-128.933,52,19/02/1980,21:35,Night,Bongo ONH,351,0.56,94,100,102.51,,0,0.10243,0,0,2.44676,0.00632,0,0,0,0,5.27909,0,0,0,0,2.51839,0,0,0,0,0,0,0,0,0,0.49751,0,0,0.37772,0,0,0,0.20291,0,0
Hecate Strait,31,-129.35,51.5,20/02/1980,1:15,Night,Bongo ONH,351,0.56,29,100,84.04,,0.00405,0.80857,0,0,4.11729,0.00386,0,0,0,0.1128,0,0,0,0,0,2.86197,0,0,0.01218,0,0.8377,0,0,0,0,1.70871,0,0,0.66159,0,0,0,0.11233,0,0.00061
Hecate Strait,29,-128.517,51.5,20/02/1980,4:35,Night,Bongo ONH,351,0.56,164,164,109.59,,0,3.97443,0,0,10.07206,0,0,0,0,0.01343,32.29418,0,0.09461,0.0292,0,1.99328,0,0.20166,0.00934,0,0.80281,0,0,0,0,0.99279,0,0,0.19683,0,0,0,0.06132,0,0.00537
Northern Vancouver Island Shelf,28,-128.1,51,20/02/1980,8:00,Daylight,Bongo ONH,351,0.56,86,100,83.34,,0.0204,0.08892,0,0,17.11093,0,0,0,0,0.25169,0.0288,0,0,0,0,17.6574,0,1.85541,0.02457,0,0.50684,0,0,0.06599,0,0.55484,0,0,1.16515,0,0,0,0.18623,0.07199,0.00215
Alaska Basin East,P26,-145,50,26/02/1980,10:00,Daylight,SCOR VNH,351,0.56,145,4250,36.93,,0.11969,0.42096,0,0,17.01403,0,0,0,0,0,0,0,0,0.3466,0,0,0,4.3596,0,0,0,0,0,0,0,0.75494,0,0,0,0,0,0,0.026,0,0
Alaska Basin East,P26,-145,50,03/03/1980,9:00,Daylight,SCOR VNH,351,0.56,145,4250,36.93,,0.02329,0.41072,0,0,29.28893,0,0,0,0,0,4.11763,0,0,1.38641,0,5.06093,0,7.04306,0.86271,0,0,0,0,0,0,4.26753,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,11/03/1980,10:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,1.17845,0.82145,0,0,44.0844,0,0,0,0,0,0.23439,0,0,0.95315,0,1.33468,0,7.84728,0,0,0,0,0,0,0,6.81073,0,0,0,0,0,0,0,0,0
Southern Vancouver Island Shelf (Stations B and D),10,-126.233,49,12/03/1980,0:00,Night,Bongo ONH,351,0.56,66,100,80.76,,0,0.07652,0,0,90.84178,0,0,0,0,0.10936,15.54731,0,0,0,0,8.43953,0,0,0.00784,0,0,0,0,0,0,4.27043,0,0,1.47176,0,0,0,0.0634,0.05572,0
Juan de Fuca,1,-124.383,48.5,12/03/1980,2:00,Night,Bongo ONH,351,0.56,74,91,85.49,,0.11524,0,0.0524,0,3.60454,0,0,0,0,0.22711,8.33034,0.00337,0.06064,0,0,5.32624,0,14.3384,0,0,0.1749,0,0,0,0,0.58861,0,0,1.56838,0,0,0,0.04117,0,0.0024
Southern Vancouver Island Shelf (Stations B and D),2,-124.55,48.5,12/03/1980,3:15,Night,Bongo ONH,351,0.56,156,182,171.76,,0,0.17292,0.05962,0,32.03461,0,0,0,0,0.5065,0.3619,0,0.06036,0.14905,0,9.25339,0,1.88286,0.11382,0,0.02925,0,0,0,0,1.33023,0,0,0.88543,0,0,0,0.08197,0,0.00119
Southern Vancouver Island Shelf (Stations B and D),3,-124.867,48.5,12/03/1980,5:20,Night,Bongo ONH,351,0.56,106,182,120.75,,0,0.13494,0.0636,0,39.71258,0.00268,0,0,0,0.03657,5.30666,0,0.08586,0,0,1.38658,0,1.01475,0,0,0,0,0,0,0,1.08124,0,0,1.13879,0,0,0,0.1007,0.01242,0.00254
Southern Vancouver Island Shelf (Station C),4,-125.3,48.5,12/03/1980,7:45,Daylight,Bongo ONH,351,0.56,135,182,132.76,,0,0.01627,0,0,75.09152,0,0,0,0,0.1774,3.91925,0,0,0.09641,0,6.77357,0,0.73954,0,0,0,0,0,0,0,1.92528,0,0,0.83564,0,0,0,0,0,0.02931
Southern Vancouver Island Shelf (Stations B and D),5,-125.717,48.5,12/03/1980,9:45,Daylight,Bongo ONH,351,0.56,70,100,62,,0.00548,0.04984,0,0,45.16188,0,0,0,0,0.11871,1.28,0,0,0,0,6.58542,0,0.74516,0.00103,0,0,0,0,0,0,3.15871,0,0,1.53322,0,0,0,0.11355,0.24194,0.0545
Southern Vancouver Island Shelf (Stations B and D),6,-126.083,48.5,12/03/1980,11:30,Daylight,Bongo ONH,351,0.56,164,182,113.41,,0,0.08174,0,0,25.81536,0,0,0,0,0.71246,3.93687,0,0,0.05643,0,3.17344,0,0.01675,0.00113,0,0,0,0,0,0,0.1439,0,0,0.13121,0,0,0,0.02257,0.07936,0.10654
Southern Vancouver Island Shelf (Stations B and D),9,-126.55,49,12/03/1980,21:20,Night,Bongo ONH,351,0.56,123,182,135.7,,0.00251,0.3335,0,0,19.57849,0,0,0,0,0.05306,7.8252,0,0,0.04716,0,1.90194,0,0.08917,0.00466,0,0,0,0,0,0,0.32837,0,0,0.46911,0,0,0,0.01887,0.07738,0.01056
Southern Vancouver Island Shelf (Stations B and D),11,-126.067,49,13/03/1980,0:30,Night,Bongo ONH,351,0.56,41,55,99.99,,0,0.0309,0.05121,0,79.30041,0.00324,0,0,0,0.2061,0.46445,0,0,0,0,15.93695,0,0.47505,0,0,0.02512,0,0,0,0,3.91719,0,0,1.10721,0,0,0,0.08961,0,0.01024
Southern Vancouver Island Shelf (Stations B and D),12,-126.733,49.5,13/03/1980,5:20,Night,Bongo ONH,351,0.56,33,55,80.74,,0,0,0.76096,0,162.44406,0,0,0,0,0.21878,1.26827,0,0,0,0,10.18806,0,1.7077,0.00238,0,0.653,0,0,0,0,4.89448,0,0,2.52366,0,0,0,0.57072,0,0.00507
Northern Vancouver Island Shelf,13,-126.9,49.5,13/03/1980,6:30,Daylight,Bongo ONH,351,0.56,74,100,76.76,,0,0,0.40021,0,140.12625,0,0,0,0,0.30683,1.46587,0,0,0,0,7.98854,0,4.65711,0.45163,0,0.19312,0,0,0,0,9.1704,0,0,3.55395,0,0,0,0.23345,0,0
Northern Vancouver Island Shelf,19,-127.583,50,13/03/1980,14:00,Daylight,Bongo ONH,351,0.56,49,55,129.84,,0,0.0238,0,0,100.28416,0,0,0,0,0.31744,0.71442,0,0,0,0,2.0939,0,11.69517,0.267,0,0.11515,0,0,0,0,8.37954,0,0,2.99692,0,0,0,0.17745,0,0.00315
Northern Vancouver Island Shelf,18,-127.717,50,13/03/1980,14:50,Daylight,Bongo ONH,351,0.56,74,182,108.11,,0,0,0.04736,0,71.82735,0,0,0,0,0.16339,0.00555,0,0,0,0,11.43727,0,47.49571,0,0,2.99044,0,0,0,0,7.48719,0,0,0.50799,0,0,0,0.04736,0,0.00379
